Date,New Prod
2009-01-03,786.0
2009-01-04,815.0
2009-01-05,844.0
2009-01-06,825.0
2009-01-07,811.0
2009-01-08,826.0
2009-01-09,878.0
2009-01-10,865.0
2009-01-11,816.0
2009-01-12,864.0
2009-01-13,820.0
2009-01-14,824.0
2009-01-15,762.0
2009-01-16,772.0
2009-01-17,700.0
2009-01-18,701.0
2009-01-19,687.0
2009-01-20,654.0
2009-01-21,613.0
2009-01-22,621.0
2009-01-23,772.0
2009-01-24,672.0
2009-01-25,710.0
2009-01-26,684.0
2009-01-27,680.0
2009-01-28,605.0
2009-01-29,682.0
2009-01-30,676.0
2009-01-31,680.0
2009-02-01,719.0
2009-02-02,661.0
2009-02-03,738.0
2009-02-04,726.0
2009-02-05,727.0
2009-02-06,686.0
2009-02-07,686.0
2009-02-08,767.0
2009-02-09,807.0
2009-02-10,732.0
2009-02-11,741.0
2009-02-12,785.0
2009-02-13,789.0
2009-02-14,721.0
2009-02-15,766.0
2009-02-16,755.0
2009-02-17,720.0
2009-02-18,718.0
2009-02-19,699.0
2009-02-20,645.0
2009-02-21,584.0
2009-02-22,554.0
2009-02-23,508.0
2009-02-24,551.0
2009-02-25,488.0
2009-02-26,529.0
2009-02-27,544.0
2009-02-28,534.0
2009-03-01,599.0
2009-03-02,651.0
2009-03-03,637.0
2009-03-04,576.0
2009-03-05,580.0
2009-03-06,563.0
2009-03-07,553.0
2009-03-08,590.0
2009-03-09,631.0
2009-03-10,600.0
2009-03-11,583.0
2009-03-12,595.0
2009-03-13,670.0
2009-03-14,577.0
2009-03-15,629.0
2009-03-16,661.0
2009-03-17,660.0
2009-03-18,635.0
2009-03-19,605.0
2009-03-20,512.0
2009-03-21,557.0
2009-03-22,490.0
2009-03-23,223.0
2009-03-24,181.0
2009-03-25,185.0
2009-03-26,206.0
2009-03-27,215.0
2009-03-28,169.0
2009-03-29,198.0
2009-03-30,200.0
2009-03-31,228.0
2009-04-01,416.0
2009-04-02,266.0
2009-04-03,199.0
2009-04-04,163.0
2009-04-05,160.0
2009-04-06,133.0
2009-04-07,126.0
2009-04-08,123.0
2009-04-09,74.0
2009-04-10,139.0
2009-04-11,338.0
2009-04-12,309.0
2009-04-13,513.0
2009-04-14,1392.0
2009-04-15,670.0
2009-04-16,628.0
2009-04-17,464.0
2009-04-18,439.0
2009-04-19,477.0
2009-04-20,412.0
2009-04-21,469.0
2009-04-22,549.0
2009-04-23,527.0
2009-04-24,646.0
2009-04-25,629.0
2009-04-26,549.0
2009-04-27,414.0
2009-04-28,401.0
2009-04-29,401.0
2009-04-30,396.0
2009-05-01,405.0
2009-05-02,526.0
2009-05-03,452.0
2009-05-04,612.0
2009-05-05,1028.0
2009-05-06,867.0
2009-05-07,559.0
2009-05-08,706.0
2009-05-09,619.0
2009-05-10,638.0
2009-05-11,730.0
2009-05-12,504.0
2009-05-13,731.0
2009-05-14,462.0
2009-05-15,579.0
2009-05-16,630.0
2009-05-17,578.0
2009-05-18,509.0
2009-05-19,403.0
2009-05-20,606.0
2009-05-21,502.0
2009-05-22,403.0
2009-05-23,480.0
2009-05-24,480.0
2009-05-25,319.0
2009-05-26,279.0
2009-05-27,413.0
2009-05-28,333.0
2009-05-29,307.0
2009-05-30,289.0
2009-05-31,296.0
2009-06-01,319.0
2009-06-02,322.0
2009-06-03,287.0
2009-06-04,283.0
2009-06-05,298.0
2009-06-06,378.0
2009-06-07,436.0
2009-06-08,307.0
2009-06-09,354.0
2009-06-10,263.0
2009-06-11,303.0
2009-06-12,367.0
2009-06-13,669.0
2009-06-14,955.0
2009-06-15,666.0
2009-06-16,654.0
2009-06-17,665.0
2009-06-18,883.0
2009-06-19,845.0
2009-06-20,658.0
2009-06-21,332.0
2009-06-22,409.0
2009-06-23,291.0
2009-06-24,246.0
2009-06-25,238.0
2009-06-26,281.0
2009-06-27,229.0
2009-06-28,327.0
2009-06-29,293.0
2009-06-30,303.0
2009-07-01,329.0
2009-07-02,434.0
2009-07-03,519.0
2009-07-04,554.0
2009-07-05,462.0
2009-07-06,475.0
2009-07-07,456.0
2009-07-08,403.0
2009-07-09,282.0
2009-07-10,289.0
2009-07-11,244.0
2009-07-12,281.0
2009-07-13,277.0
2009-07-14,235.0
2009-07-15,246.0
2009-07-16,232.0
2009-07-17,176.0
2009-07-18,250.0
2009-07-19,233.0
2009-07-20,239.0
2009-07-21,273.0
2009-07-22,257.0
2009-07-23,346.0
